id,text,khoa,topic,source
tamanh_0001,"Tôi có con bị chẩn đoán động kinh năm 4 tuổi, tôi…. Tôi có con bị chẩn đoán động kinh năm 4 tuổi, tôi muốn cho con đi khám lại thì đăng ký như nào ạ?",Khoa Thần kinh - Đột quỵ,neurology,tamanh
tamanh_0002,"Người bệnh có bị đau rát cổ họng khi xạ trị không?. Thưa bác sĩ, trong quá trình xạ trị tôi thường xuyên cảm thấy đau rát cổ họng, nuốt rất khó chịu. Đây có phải là tác dụng phụ bình thường của xạ trị không? Nguyên nhân vì sao lại bị như vậy và tôi nên làm gì để giảm bớt cảm giác đau rát này?","Khoa Xạ trị, Trung tâm Ung bướu",oncology,tamanh
tamanh_0003,"U mỡ ở trẻ em có ảnh hưởng đến sức khỏe không?. Bé nhà em 6 tuổi. Dạo gần đây, em để ý thấy ở cổ cháu nổi lên một khối tròn nhỏ như hạt đậu, mềm và di động. Em đưa bé đi khám thì bác sĩ bảo đó là u mỡ lành tính và hẹn tái khám để theo dõi. Bác sĩ cho em hỏi nếu để lâu thì u mỡ có ảnh hưởng gì đến sự phát triển của con không bác sĩ?",Khoa Ngoại Nhi,pediatrics,tamanh
tamanh_0004,"Chuyên gia tư vấn: Rốn trẻ sơ sinh bao lâu thì lành hẳn?. Thưa bác sĩ, con em được hơn một tuần tuổi, cuống rốn có dấu hiệu khô nhưng vẫn còn hơi ẩm và có chút mùi nhẹ. Không biết thông thường rốn trẻ sơ sinh mất bao lâu thì lành hẳn ạ?",Trung tâm Sơ sinh,pediatrics,tamanh
tamanh_0005,"Nên phòng bệnh tiêu hóa tuổi học đường như thế nào?. Thưa bác sĩ, dạo gần đây em thấy nhiều bạn trong lớp hay bị đau bụng, tiêu chảy, có bạn còn phải nghỉ học vì viêm dạ dày hay rối loạn tiêu hóa. Em nghe nói lứa tuổi học sinh dễ mắc bệnh đường tiêu hóa, vậy bác sĩ cho em hỏi nên phòng bệnh tiêu hóa ở tuổi học đường như thế nào cho hiệu quả ạ?",Khoa Nhi,pediatrics,tamanh
tamanh_0006,"Làm sao cải thiện chất lượng giấc ngủ của học sinh?. Thưa bác sĩ, dạo gần đây con tôi hay than mệt mỏi, buồn ngủ vào ban ngày dù buổi tối đi ngủ cũng khá sớm. Tôi rất lo lắng vì tình trạng này ảnh hưởng nhiều đến việc học và khả năng tập trung của cháu. Xin bác sĩ cho biết nguyên nhân vì sao trẻ vẫn có thể mệt mỏi dù ngủ đủ giờ, và cha mẹ nên làm gì để giúp con ngủ sâu, ngủ ngon hơn ạ?",Khoa Nhi,pediatrics,tamanh
tamanh_0007,"Khi nào cần đưa trẻ đến bệnh viện? Dấu hiệu cảnh báo. Bác sĩ ơi, con em bị sốt 39,5°C nguyên đêm qua, uống thuốc hạ sốt rồi mà vẫn không đỡ. Bác sĩ cho em hỏi khi nào em nên đưa bé đến bệnh viện ạ?",Khoa Nhi,pediatrics,tamanh
tamanh_0008,"Khả năng ung thư tiền liệt tuyến di căn hạch có cao không?. Thưa bác sĩ, ung thư tiền liệt tuyến di căn hạch có còn khả năng kiểm soát bệnh không, hướng điều trị hiện nay là gì và tiên lượng sống ra sao?",Trung tâm Tiết niệu - Thận học - Nam khoa,urology,tamanh
tamanh_0009,"Tại sao ung thư không chữa được ở giai đoạn muộn?. Bác sĩ ơi, mẹ em mới được chẩn đoán ung thư giai đoạn muộn. Tại sao bệnh ung thư đến giai đoạn này thường không thể điều trị khỏi?",Khoa Ung bướu,oncology,tamanh
tamanh_0010,"Người bị viêm gan B có hiến tạng được không?. Chào bác sĩ, tôi năm nay 25 tuổi, được chẩn đoán bị viêm gan B mạn tính cách đây 3 năm. Tôi có mong muốn được hiến tạng để cứu người, nhưng không biết liệu người bị viêm gan B có hiến tạng được không? Có trường hợp nào người bị viêm gan B vẫn được xem xét hiến tạng không? Nhờ bác sĩ giải đáp giúp.",Khoa Nội tiêu hóa,gastroenterology,tamanh
tamanh_0011,"Phân biệt tinh hoàn lạc chỗ và tinh hoàn ẩn như thế nào?. Chào bác sĩ, từ nhỏ em chỉ sờ thấy một tinh hoàn trong bìu. Có lúc tinh hoàn còn lại sờ thấy ở vùng bẹn, nhưng có lúc lại không thấy nữa. Em không rõ trường hợp của mình là tinh hoàn ẩn hay tinh hoàn lạc chỗ, hai tình trạng này khác nhau thế nào và làm sao để xác định chính xác ạ?",Trung tâm Hỗ trợ sinh sản,reproductive_endocrinology,tamanh
tamanh_0012,"Thường xuyên ăn mì tôm có bị ung thư không?. Thưa bác sĩ, có nhiều thông tin cho rằng trong mì ăn liền có chất bảo quản, hương liệu hoặc dầu chiên đi chiên lại có thể làm tăng nguy cơ ung thư. Thực tế điều này có cơ sở khoa học không?",Khoa Dinh dưỡng Tiết chế,nutrition,tamanh
tamanh_0013,"Bị vô sinh có quan hệ được không?. Chào bác sĩ, em năm nay 32 tuổi, đã đi khám và được chẩn đoán là vô sinh. Từ đó em rất mặc cảm, chuyện vợ chồng cũng bị ảnh hưởng nhiều vì em luôn lo lắng về khả năng tình dục của mình. Xin hỏi bác sĩ vô sinh có quan hệ được không, tình trạng này có ảnh hưởng gì đến đời sống tình dục không, và làm sao để cải thiện đời sống vợ chồng trong quá trình điều trị vô sinh ạ?",Trung tâm Hỗ trợ sinh sản,reproductive_endocrinology,tamanh
tamanh_0014,"Nhiễm nấm Candida có gây vô sinh không?. Chào bác sĩ, em năm nay 28 tuổi, thời gian gần đây em thường bị ngứa vùng kín, khí hư ra nhiều và vón cục trắng như bã đậu. Đi khám thì bác sĩ chẩn đoán em bị nhiễm nấm Candida. Em rất lo lắng không biết nhiễm nấm Candida có gây vô sinh không, và nếu có thì cần điều trị thế nào để tránh ảnh hưởng đến khả năng sinh sản sau này? Mong bác sĩ giải đáp giúp em!",Trung tâm Hỗ trợ sinh sản,reproductive_endocrinology,tamanh
tamanh_0015,"Thói quen uống nước ngọt nhiều có bị vô sinh không?. Chào bác sĩ, em năm nay 24 tuổi, do thói quen sinh hoạt nên hầu như ngày nào em cũng uống nước ngọt, trung bình khoảng 2–3 lon mỗi ngày. Gần đây em nghe nhiều người nói uống nhiều nước ngọt có thể ảnh hưởng đến khả năng sinh sản. Em rất lo lắng không biết uống nước ngọt nhiều có bị vô sinh không, đặc biệt là về chất lượng tinh trùng và khả năng có con sau này. Mong bác sĩ giải đáp giúp em!",Trung tâm Hỗ trợ sinh sản,reproductive_endocrinology,tamanh
